 ,Label,Area,Mean,Min,Max,X,Y,%Area,MinThr,MaxThr,Ribo_NN_Dist,Ribo_EmpP,Ribo_CloserThanRand,Experiment
1305,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436932,0.063,398.788,311,532,48.41,25.506,68.041,310,65535,1.097284375173548,0.9006428988895383,False,Exp84_C3
1306,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436933,0.093,923.835,583,1140,47.46,25.627,100.0,310,65535,1.881235764065737,0.9848042080654588,False,Exp84_C3
1307,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436938,0.071,406.095,314,534,39.948,26.148,76.289,310,65535,1.400681262814634,0.9579193454120397,False,Exp84_C3
1308,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436939,0.027,341.429,310,376,45.496,26.431,28.866,310,65535,1.4507156854463263,0.9643483343074225,False,Exp84_C3
1309,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436936,0.021,347.0,314,388,46.373,26.027,22.68,310,65535,1.4771949769749413,0.9655172413793104,False,Exp84_C3
1310,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436937,0.014,332.867,310,365,41.066,26.118,15.464,310,65535,1.1752803920767179,0.9181765049678551,False,Exp84_C3
1311,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436942,0.093,777.845,398,1147,43.496,26.556,100.0,310,65535,0.6210008051524523,0.6353009935710111,False,Exp84_C3
1312,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436943,0.04,345.119,310,391,46.788,26.61,43.299,310,65535,1.8169273513269586,0.9818819403857393,False,Exp84_C3
1313,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436940,0.034,383.429,312,469,41.755,26.449,36.082,310,65535,1.7796184984428602,0.9795441262419637,False,Exp84_C3
1314,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436941,0.082,492.0,313,656,43.131,26.479,88.66,310,65535,0.9524242752051183,0.852717708942139,False,Exp84_C3
