Experiment,KL_stat,KL_p,KL_perm_std,KS_stat,KS_p,MW_stat,MW_p,Median_Diff,CLES,WelchT_stat,WelchT_p
Exp84_C2,0.07622145654570094,0.000999000999000999,0.00278324802521417,0.31760299625468164,3.0294085262034703e-40,427497.0,9.742859533461767e-49,-0.22808200050193883,0.7001662248032656,-14.765302616944371,4.139350197136217e-44
Exp84_C3,0.08295073844840369,0.000999000999000999,0.003932457921044359,0.3146198830409357,1.8626523896844502e-25,175425.5,6.735212467155999e-32,-0.2181919752632645,0.7000341985568209,-12.2155643584923,8.78257623480682e-31
Exp84_C5,0.053162622919915976,0.000999000999000999,0.0023035738385398,0.2246794871794872,1.7450743035578742e-23,743216.0,4.818764660963985e-21,-0.13898521316856566,0.6182522805719921,-8.304115524956249,1.829837266155781e-16
