 ,Label,Area,Mean,Min,Max,X,Y,%Area,MinThr,MaxThr
1,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548019,0.037,201.513,170,240,17.734,14.133,48.750,170,65535
2,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548018,0.057,201.085,170,238,25.382,14.040,73.750,170,65535
3,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548017,0.077,395.663,288,483,20.749,14.029,100.000,170,65535
4,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548016,0.027,194.250,170,222,22.453,13.952,35.000,170,65535
5,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548023,0.029,189.433,170,214,20.255,14.792,37.500,170,65535
6,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548022,0.047,211.224,170,265,15.902,14.781,61.250,170,65535
7,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548021,0.059,220.419,170,276,22.771,14.703,77.500,170,65535
8,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548020,0.035,192.000,172,217,23.898,14.376,46.250,170,65535
9,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548027,0.077,285.425,188,395,22.793,15.237,100.000,170,65535
10,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548026,0.068,234.085,173,318,23.411,15.215,88.750,170,65535
11,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548025,0.068,228.634,174,302,18.590,15.064,88.750,170,65535
12,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548024,0.073,222.158,171,283,23.072,14.834,95.000,170,65535
13,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548031,0.041,196.860,170,228,18.871,15.979,53.750,170,65535
14,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548030,0.015,183.000,170,198,20.136,15.899,20.000,170,65535
15,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548029,0.031,195.562,171,225,18.295,15.826,40.000,170,65535
16,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548028,0.070,227.233,171,298,22.370,15.579,91.250,170,65535
17,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548003,0.030,195.806,173,219,24.157,11.638,38.750,170,65535
18,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548002,0.077,362.938,175,511,20.594,11.428,100.000,170,65535
19,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548001,0.077,286.175,196,360,17.652,11.366,100.000,170,65535
20,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548000,0.047,200.551,171,235,15.089,11.337,61.250,170,65535
21,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548007,0.064,217.507,170,278,17.068,12.620,83.750,170,65535
22,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548006,0.070,284.164,180,396,21.315,12.544,91.250,170,65535
23,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548005,0.077,281.262,183,384,20.687,12.512,100.000,170,65535
24,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548004,0.033,198.941,174,229,21.734,12.140,42.500,170,65535
25,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548011,0.030,188.839,170,212,18.575,13.247,38.750,170,65535
26,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548010,0.039,200.293,170,235,23.328,12.988,51.250,170,65535
27,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548009,0.035,203.324,170,240,19.107,12.932,46.250,170,65535
28,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548008,0.058,215.667,170,278,22.654,12.689,75.000,170,65535
29,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548015,0.075,276.692,171,389,21.027,13.940,97.500,170,65535
30,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548014,0.058,236.117,170,323,16.782,13.854,75.000,170,65535
31,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548013,0.025,181.808,170,197,21.627,13.768,32.500,170,65535
32,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7548012,0.077,303.163,185,426,17.590,13.348,100.000,170,65535
33,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547987,0.037,193.744,170,223,18.441,8.674,48.750,170,65535
34,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547986,0.048,193.220,170,222,16.819,8.670,62.500,170,65535
35,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547985,0.035,202.056,170,241,21.961,8.478,45.000,170,65535
36,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547984,0.036,197.632,171,233,13.772,8.470,47.500,170,65535
37,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547991,0.035,192.222,171,216,18.539,9.783,45.000,170,65535
38,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547990,0.053,194.945,170,224,14.385,9.549,68.750,170,65535
39,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547989,0.031,191.719,170,222,21.110,9.310,40.000,170,65535
40,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547988,0.022,186.391,171,206,18.919,8.995,28.750,170,65535
41,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547995,0.017,180.889,170,191,20.663,10.557,22.500,170,65535
42,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547994,0.059,214.705,170,275,20.043,10.518,76.250,170,65535
43,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547993,0.077,225.512,170,290,15.732,10.437,100.000,170,65535
44,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547992,0.033,193.882,170,224,21.516,9.771,42.500,170,65535
45,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547999,0.028,191.069,170,216,19.395,11.244,36.250,170,65535
46,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547998,0.043,209.089,170,255,16.241,10.912,56.250,170,65535
47,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547997,0.035,198.389,170,232,15.728,10.886,45.000,170,65535
48,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547996,0.023,187.458,170,206,18.951,10.588,30.000,170,65535
49,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547971,0.050,205.692,170,252,19.170,6.690,65.000,170,65535
50,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547970,0.042,203.841,170,240,17.957,6.468,55.000,170,65535
51,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547969,0.040,186.429,171,205,23.750,5.844,52.500,170,65535
52,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547968,0.037,192.641,170,220,24.417,5.484,48.750,170,65535
53,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547975,0.049,200.176,171,234,25.556,7.156,63.750,170,65535
54,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547974,0.023,182.208,170,197,16.716,7.021,30.000,170,65535
55,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547973,0.020,192.857,172,214,12.881,6.933,26.250,170,65535
56,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547972,0.056,205.862,170,251,21.030,6.703,72.500,170,65535
57,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7547979,0.077,307.050,188,442,14.463,7.866,100.000,170,65535
