 ,Label,Area,Mean,Min,Max,X,Y,%Area,MinThr,MaxThr
1,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960313,0.093,779.959,410,1172,4.723,17.823,100.000,280,65535
2,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960312,0.083,420.046,281,557,9.802,17.787,89.691,280,65535
3,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960315,0.063,334.091,283,415,4.108,17.860,68.041,280,65535
4,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960314,0.093,808.639,538,1036,6.891,17.823,100.000,280,65535
5,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960317,0.093,568.897,368,800,5.404,17.947,100.000,280,65535
6,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960316,0.080,393.771,283,539,8.706,17.918,85.567,280,65535
7,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960319,0.093,627.454,414,789,12.589,17.978,100.000,280,65535
8,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960318,0.093,599.794,399,689,5.962,18.009,100.000,280,65535
9,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960305,0.085,407.730,282,572,6.238,17.010,91.753,280,65535
10,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960304,0.054,359.875,281,461,11.400,16.911,57.732,280,65535
11,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960307,0.079,430.317,281,626,4.336,17.277,84.536,280,65535
12,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960306,0.091,513.179,291,829,5.525,17.140,97.938,280,65535
13,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960309,0.088,409.337,282,543,8.409,17.505,94.845,280,65535
14,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960308,0.092,465.833,280,574,11.166,17.421,98.969,280,65535
15,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960311,0.093,739.907,479,982,7.262,17.668,100.000,280,65535
16,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960310,0.084,384.466,281,494,10.538,17.628,90.722,280,65535
17,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960297,0.093,717.351,450,1088,9.523,16.460,100.000,280,65535
18,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960296,0.093,711.309,310,1063,9.151,16.150,100.000,280,65535
19,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960299,0.081,521.107,284,688,9.133,16.506,86.598,280,65535
20,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960298,0.093,597.216,342,818,5.745,16.491,100.000,280,65535
21,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960301,0.072,485.093,289,681,4.470,16.780,77.320,280,65535
22,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960300,0.093,607.505,366,828,10.049,16.553,100.000,280,65535
23,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960303,0.092,465.479,305,650,4.940,16.892,98.969,280,65535
24,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960302,0.093,571.495,328,794,6.922,16.832,100.000,280,65535
25,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960289,0.093,605.711,368,849,8.904,15.655,100.000,280,65535
26,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960288,0.087,428.989,280,591,11.823,15.629,93.814,280,65535
27,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960291,0.093,511.546,291,661,5.807,15.903,100.000,280,65535
28,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960290,0.077,487.062,302,752,4.810,15.787,82.474,280,65535
29,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960293,0.072,413.253,282,588,5.071,15.922,77.320,280,65535
30,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960292,0.065,380.853,281,538,7.739,15.888,70.103,280,65535
31,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960295,0.082,388.535,282,540,6.730,16.151,88.660,280,65535
32,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960294,0.093,553.948,399,663,7.324,16.088,100.000,280,65535
33,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960281,0.081,447.381,281,624,8.658,14.974,86.598,280,65535
34,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960280,0.089,452.720,300,574,6.979,14.969,95.876,280,65535
35,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960283,0.088,448.946,284,689,9.672,15.063,94.845,280,65535
36,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960282,0.076,401.228,282,595,9.052,14.968,81.443,280,65535
37,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960285,0.077,363.650,281,468,12.196,15.428,82.474,280,65535
38,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960284,0.056,371.017,282,519,7.762,15.314,59.794,280,65535
39,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960287,0.088,476.065,281,681,5.443,15.561,94.845,280,65535
40,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960286,0.072,445.453,284,645,4.928,15.435,77.320,280,65535
41,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960273,0.093,661.804,397,908,9.028,14.447,100.000,280,65535
42,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960272,0.093,497.309,291,688,7.851,14.323,100.000,280,65535
43,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960275,0.049,352.686,284,454,10.396,14.625,52.577,280,65535
44,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960274,0.093,707.320,426,982,7.138,14.478,100.000,280,65535
45,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960277,0.093,541.598,361,711,5.714,14.664,100.000,280,65535
46,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960276,0.068,373.479,281,464,11.840,14.623,73.196,280,65535
47,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960279,0.093,465.670,299,607,6.302,14.819,100.000,280,65535
48,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960278,0.088,444.152,306,629,5.505,14.788,94.845,280,65535
49,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960265,0.093,468.041,291,676,8.718,13.766,100.000,280,65535
50,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960264,0.058,365.233,280,472,10.893,13.647,61.856,280,65535
51,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960267,0.092,586.062,314,832,7.880,13.920,98.969,280,65535
52,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960266,0.083,402.023,281,545,12.050,13.767,89.691,280,65535
53,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960269,0.087,447.297,283,568,5.653,14.209,93.814,280,65535
54,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960268,0.093,481.773,369,668,8.966,14.014,100.000,280,65535
55,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960271,0.093,527.608,321,681,5.993,14.261,100.000,280,65535
56,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960270,0.093,506.526,298,652,6.085,14.168,100.000,280,65535
57,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960257,0.093,906.629,531,1207,8.935,13.208,100.000,280,65535
58,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960256,0.093,543.959,390,673,6.147,13.208,100.000,280,65535
59,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960259,0.084,422.284,280,559,10.582,13.227,90.722,280,65535
60,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960258,0.093,420.670,299,531,11.195,13.208,100.000,280,65535
61,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960261,0.093,558.454,358,787,8.439,13.518,100.000,280,65535
62,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960260,0.093,800.845,461,1017,7.107,13.301,100.000,280,65535
63,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960263,0.088,497.391,285,788,5.812,13.639,94.845,280,65535
64,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960262,0.091,463.368,286,640,7.605,13.577,97.938,280,65535
65,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960249,0.093,660.072,435,839,10.359,12.682,100.000,280,65535
66,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960248,0.080,456.373,284,625,10.790,12.664,85.567,280,65535
67,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960251,0.071,376.541,281,501,11.077,12.848,76.289,280,65535
68,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C5_Airyscan Processing-1.tif:ID7960250,0.082,415.360,281,546,8.116,12.836,88.660,280,65535
