 ,Label,Area,Mean,Min,Max,X,Y,%Area,MinThr,MaxThr
1,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6435682,0.093,881.381,483,1223,9.306,17.172,100.000,310,65535
2,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6435683,0.093,717.155,405,1029,8.129,17.203,100.000,310,65535
3,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6435680,0.093,879.072,557,1089,9.864,17.079,100.000,310,65535
4,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6435681,0.064,388.224,310,502,6.546,17.179,69.072,310,65535
5,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6435686,0.088,482.370,311,602,7.079,17.335,94.845,310,65535
6,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6435687,0.093,758.186,540,1038,9.678,17.327,100.000,310,65535
7,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6435684,0.093,1042.443,676,1318,8.563,17.203,100.000,310,65535
8,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6435685,0.093,755.258,494,980,10.297,17.296,100.000,310,65535
9,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6435690,0.093,723.711,409,912,7.448,17.606,100.000,310,65535
10,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6435691,0.093,749.660,481,961,7.138,17.792,100.000,310,65535
