 ,Label,Area,Mean,Min,Max,X,Y,%Area,MinThr,MaxThr
121,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725725,0.069,213.833,175,265,23.971,8.961,90.000,175,65535
122,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725724,0.077,453.738,223,642,19.387,8.764,100.000,175,65535
123,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725723,0.077,354.675,232,473,21.709,8.640,100.000,175,65535
124,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725722,0.048,213.100,175,256,19.629,8.417,62.500,175,65535
125,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725721,0.073,205.066,175,231,11.619,40.937,95.000,175,65535
126,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725720,0.077,272.962,188,356,10.530,39.702,100.000,175,65535
127,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725703,0.077,426.425,317,524,12.728,29.668,100.000,175,65535
128,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725702,0.077,399.625,264,509,12.543,29.483,100.000,175,65535
129,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725701,0.074,316.403,179,391,12.330,29.239,96.250,175,65535
130,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725700,0.039,201.585,175,233,10.351,29.102,51.250,175,65535
131,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725699,0.052,206.167,176,241,6.626,28.887,67.500,175,65535
132,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725698,0.077,386.788,278,439,12.697,28.801,100.000,175,65535
133,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725697,0.046,203.188,175,237,7.874,28.410,60.000,175,65535
134,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725696,0.077,455.825,258,564,7.371,28.275,100.000,175,65535
135,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725711,0.077,438.688,286,577,12.233,31.681,100.000,175,65535
136,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725710,0.075,239.244,180,296,11.120,31.561,97.500,175,65535
137,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725709,0.059,217.177,176,265,10.708,31.566,77.500,175,65535
138,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725708,0.077,311.062,214,382,12.109,31.124,100.000,175,65535
139,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725707,0.077,251.200,186,313,5.234,31.124,100.000,175,65535
140,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725706,0.077,313.863,206,417,10.591,30.319,100.000,175,65535
141,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725705,0.070,237.671,176,296,10.196,29.988,91.250,175,65535
142,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725704,0.059,223.377,176,271,10.647,29.847,76.250,175,65535
143,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725751,0.077,234.125,188,275,24.373,15.113,100.000,175,65535
144,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725750,0.077,349.012,200,508,25.457,15.082,100.000,175,65535
145,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725749,0.077,279.212,175,338,19.232,15.020,100.000,175,65535
146,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725748,0.077,266.075,191,347,14.153,14.989,100.000,175,65535
147,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725747,0.076,336.367,185,457,13.814,14.990,98.750,175,65535
148,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725746,0.077,278.288,190,332,25.054,14.710,100.000,175,65535
149,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725745,0.036,201.763,175,238,14.661,14.632,47.500,175,65535
150,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725744,0.072,284.760,176,383,24.808,14.595,93.750,175,65535
151,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5725759,0.077,287.438,231,333,20.440,15.794,100.000,175,65535
