 ,Label,Area,Mean,Min,Max,X,Y,%Area,MinThr,MaxThr
1,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550755,0.077,292.613,191,370,17.250,13.657,100.000,160,65535
2,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550754,0.065,209.750,160,264,19.991,13.536,85.000,160,65535
3,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550753,0.075,243.179,162,328,21.744,13.441,97.500,160,65535
4,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550752,0.068,237.282,161,309,23.241,13.262,88.750,160,65535
5,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550759,0.053,188.036,161,220,13.085,13.856,68.750,160,65535
6,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550758,0.077,355.113,216,481,14.958,13.812,100.000,160,65535
7,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550757,0.077,225.475,165,302,22.143,13.688,100.000,160,65535
8,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550756,0.065,197.397,161,244,15.448,13.728,85.000,160,65535
9,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550763,0.071,231.905,162,294,22.427,14.034,92.500,160,65535
10,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550762,0.072,217.987,160,285,25.558,13.967,93.750,160,65535
11,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550761,0.077,243.500,183,281,25.054,13.905,100.000,160,65535
12,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550760,0.076,219.595,161,287,17.963,13.938,98.750,160,65535
13,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550767,0.066,209.116,162,271,19.249,14.678,86.250,160,65535
14,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550766,0.042,189.386,161,226,13.075,14.506,55.000,160,65535
15,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550765,0.074,230.688,163,294,22.271,14.188,96.250,160,65535
16,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550764,0.077,220.450,171,255,21.307,14.091,100.000,160,65535
17,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550771,0.055,196.877,162,238,15.487,17.259,71.250,160,65535
18,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550770,0.077,275.413,173,358,15.608,15.701,100.000,160,65535
19,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550769,0.077,231.550,171,283,13.472,14.865,100.000,160,65535
20,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550768,0.074,197.104,161,219,16.197,14.746,96.250,160,65535
21,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550775,0.077,341.775,195,449,23.660,31.279,100.000,160,65535
22,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550774,0.053,190.982,161,227,14.057,30.753,68.750,160,65535
23,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550773,0.015,177.438,160,199,24.502,30.582,20.000,160,65535
24,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550772,0.057,190.847,160,228,13.173,18.127,73.750,160,65535
25,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550779,0.077,341.163,262,401,12.883,31.836,100.000,160,65535
26,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550778,0.077,317.512,183,457,14.865,31.681,100.000,160,65535
27,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550777,0.077,266.413,172,320,23.413,31.589,100.000,160,65535
28,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550776,0.077,387.512,266,529,12.914,31.465,100.000,160,65535
29,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550783,0.076,227.734,160,300,22.671,32.580,98.750,160,65535
30,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550782,0.077,331.812,227,445,24.404,32.239,100.000,160,65535
31,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550781,0.063,207.061,161,263,22.188,32.225,82.500,160,65535
32,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550780,0.077,270.262,185,335,23.351,32.146,100.000,160,65535
33,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550723,0.062,194.385,161,232,11.524,38.222,81.250,160,65535
34,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550722,0.077,226.238,167,294,10.901,37.720,100.000,160,65535
35,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550721,0.010,166.600,160,177,5.351,35.943,12.500,160,65535
36,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550720,0.059,192.525,160,238,9.606,32.916,76.250,160,65535
37,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550727,0.073,215.026,161,286,11.804,43.572,95.000,160,65535
38,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6550726,0.077,289.550,205,387,10.530,43.202,100.000,160,65535
