 ,Label,Area,Mean,Min,Max,X,Y,%Area,MinThr,MaxThr
1,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758138,0.084,1685.000,1031,2386,12.495,49.722,100.000,715,65535
2,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758139,0.084,2147.338,1268,2727,13.047,49.722,100.000,715,65535
3,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758136,0.084,1697.675,1009,2144,15.806,49.528,100.000,715,65535
4,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758137,0.084,1810.300,923,2341,15.254,49.560,100.000,715,65535
5,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758142,0.083,1578.278,750,2073,15.740,49.786,98.750,715,65535
6,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758143,0.084,1426.625,816,2014,14.378,50.014,100.000,715,65535
7,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758140,0.084,1385.425,740,1952,13.988,49.755,100.000,715,65535
8,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758141,0.084,1664.275,807,2110,15.384,49.787,100.000,715,65535
9,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758130,0.076,1256.444,722,1827,15.262,49.151,90.000,715,65535
10,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758131,0.083,1193.848,737,1530,11.555,49.205,98.750,715,65535
11,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758128,0.076,1418.764,766,2205,13.118,48.891,90.000,715,65535
12,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758129,0.081,1376.610,733,2040,12.657,49.108,96.250,715,65535
13,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758134,0.079,1336.627,811,1677,11.980,49.471,93.750,715,65535
14,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758135,0.084,1608.362,907,2286,12.593,49.528,100.000,715,65535
15,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758132,0.077,1195.370,721,1675,13.545,49.195,91.250,715,65535
16,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758133,0.084,1936.800,1295,2415,15.481,49.430,100.000,715,65535
17,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758122,0.084,1596.213,933,2214,12.236,48.164,100.000,715,65535
18,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758123,0.075,1069.408,722,1537,13.634,48.387,88.750,715,65535
19,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758120,0.079,1540.640,803,2481,11.077,47.968,93.750,715,65535
20,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758121,0.072,1105.618,734,1696,12.616,48.083,85.000,715,65535
21,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758126,0.068,1259.985,723,2002,12.098,48.688,81.250,715,65535
22,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C4_Airyscan Processing-1.tif:ID45758127,0.080,1282.513,766,1818,11.624,48.721,95.000,715,65535
