 ,Label,Area,Mean,Min,Max,X,Y,%Area,MinThr,MaxThr
1,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610912,0.026,271.240,236,311,33.958,55.887,31.250,235,65535
2,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610901,0.026,266.720,235,306,40.060,52.631,31.250,235,65535
3,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610900,0.076,421.792,238,673,32.299,52.583,90.000,235,65535
4,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610903,0.079,451.987,238,658,33.402,53.040,93.750,235,65535
5,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610902,0.084,462.950,242,665,35.052,52.676,100.000,235,65535
6,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610897,0.067,336.953,237,448,33.004,52.183,80.000,235,65535
7,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610896,0.084,523.688,372,670,36.448,51.832,100.000,235,65535
8,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610899,0.032,279.800,240,332,36.452,52.347,37.500,235,65535
9,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610898,0.083,446.076,271,610,39.760,52.223,98.750,235,65535
10,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610909,0.044,286.310,235,350,31.823,54.231,52.500,235,65535
11,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610908,0.077,416.740,237,658,35.541,53.683,91.250,235,65535
12,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610911,0.076,444.347,242,707,33.282,55.824,90.000,235,65535
13,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610910,0.029,278.321,238,331,32.233,54.771,35.000,235,65535
14,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610905,0.051,313.604,235,396,35.099,53.123,60.000,235,65535
15,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610904,0.045,269.395,235,306,35.850,53.100,53.750,235,65535
16,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610907,0.083,418.924,245,579,33.139,53.356,98.750,235,65535
17,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610906,0.072,375.324,238,538,32.925,53.257,85.000,235,65535
18,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610885,0.024,278.043,240,323,43.414,49.861,28.750,235,65535
19,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610884,0.065,323.968,237,410,33.612,49.802,77.500,235,65535
20,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610887,0.055,303.385,236,390,42.213,50.763,65.000,235,65535
21,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610886,0.023,272.273,235,321,33.900,50.481,27.500,235,65535
22,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610881,0.077,436.918,235,669,32.332,48.845,91.250,235,65535
23,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610880,0.046,305.682,235,404,32.747,48.631,55.000,235,65535
24,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610883,0.084,422.887,247,576,33.462,49.528,100.000,235,65535
25,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610882,0.027,264.962,235,300,39.150,49.390,32.500,235,65535
26,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610893,0.058,320.436,235,411,37.994,51.099,68.750,235,65535
27,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610892,0.081,426.195,238,703,33.460,51.091,96.250,235,65535
28,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610895,0.084,546.900,269,775,36.545,51.442,100.000,235,65535
29,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610894,0.039,310.946,239,407,37.462,51.395,46.250,235,65535
30,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610889,0.078,386.486,239,502,37.718,50.859,92.500,235,65535
31,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610888,0.033,285.839,235,346,42.581,50.765,38.750,235,65535
32,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610891,0.027,284.115,237,347,35.685,51.020,32.500,235,65535
33,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610890,0.045,301.302,240,385,34.112,50.900,53.750,235,65535
34,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610869,0.080,430.092,255,562,32.171,47.486,95.000,235,65535
35,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610868,0.083,404.481,241,595,32.746,47.449,98.750,235,65535
36,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610871,0.080,494.855,237,760,44.655,47.579,95.000,235,65535
37,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610870,0.084,711.225,337,1055,36.253,47.548,100.000,235,65535
38,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610865,0.056,317.736,237,433,36.806,47.339,66.250,235,65535
39,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610864,0.078,407.932,244,529,32.302,47.295,92.500,235,65535
40,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610867,0.061,307.793,245,355,35.568,47.356,72.500,235,65535
41,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610866,0.038,306.750,241,387,44.046,47.341,45.000,235,65535
42,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610877,0.051,351.646,253,475,32.407,48.489,60.000,235,65535
43,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610876,0.082,403.372,242,606,36.354,48.069,97.500,235,65535
44,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610879,0.082,505.128,268,760,43.682,48.584,97.500,235,65535
45,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610878,0.043,309.073,235,397,42.392,48.547,51.250,235,65535
46,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610873,0.050,291.404,235,374,41.103,47.688,58.750,235,65535
47,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610872,0.042,286.075,237,344,39.259,47.673,50.000,235,65535
48,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610875,0.044,317.548,236,422,34.236,47.929,52.500,235,65535
49,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610874,0.047,314.489,235,395,43.363,47.873,56.250,235,65535
50,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610853,0.074,389.757,249,603,37.190,46.058,87.500,235,65535
51,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610852,0.066,318.984,236,410,32.985,45.811,78.750,235,65535
52,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610855,0.050,277.830,235,325,41.190,46.222,58.750,235,65535
53,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610854,0.051,298.958,236,386,31.788,46.108,60.000,235,65535
54,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610849,0.084,617.562,369,876,41.900,45.438,100.000,235,65535
55,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610848,0.067,422.969,239,636,36.947,45.411,80.000,235,65535
56,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610851,0.037,295.743,236,364,38.750,45.782,43.750,235,65535
57,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610850,0.084,609.688,319,856,35.669,45.665,100.000,235,65535
58,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610861,0.082,615.641,282,894,39.723,47.091,97.500,235,65535
59,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610860,0.038,277.083,242,322,37.624,46.874,45.000,235,65535
60,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610863,0.056,317.962,237,433,40.116,47.249,66.250,235,65535
61,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610862,0.035,286.000,236,336,42.396,47.185,41.250,235,65535
62,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610857,0.060,306.982,235,386,37.402,46.558,71.250,235,65535
63,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610856,0.058,296.709,237,371,34.432,46.270,68.750,235,65535
64,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610859,0.082,462.885,243,686,35.442,46.769,97.500,235,65535
65,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610858,0.048,306.587,235,403,32.214,46.625,57.500,235,65535
66,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610837,0.080,374.461,236,481,34.664,44.597,95.000,235,65535
67,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610836,0.057,323.167,240,387,41.475,44.493,67.500,235,65535
68,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610839,0.079,401.853,235,595,37.477,44.755,93.750,235,65535
69,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610838,0.084,397.675,242,498,34.760,44.757,100.000,235,65535
70,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610833,0.057,309.296,239,391,36.320,44.160,67.500,235,65535
71,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610832,0.084,398.337,257,515,33.786,44.205,100.000,235,65535
72,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610835,0.074,394.200,241,518,37.262,44.467,87.500,235,65535
73,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610834,0.073,375.826,235,544,38.419,44.273,86.250,235,65535
74,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610845,0.039,297.162,241,374,36.710,45.040,46.250,235,65535
75,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610844,0.029,278.357,235,325,42.898,44.993,35.000,235,65535
76,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610847,0.057,305.963,235,405,40.841,45.184,67.500,235,65535
77,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610846,0.083,342.165,239,416,39.140,45.209,98.750,235,65535
78,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610841,0.080,399.632,245,524,39.921,44.821,95.000,235,65535
79,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610840,0.084,520.163,291,650,33.722,44.821,100.000,235,65535
80,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610843,0.028,276.815,236,326,35.417,45.011,33.750,235,65535
81,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610842,0.032,267.967,236,317,38.349,44.868,37.500,235,65535
82,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610821,0.084,1028.938,763,1266,32.261,43.523,100.000,235,65535
83,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610820,0.084,907.075,408,1431,37.714,43.458,100.000,235,65535
84,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610823,0.080,422.579,245,658,45.081,43.653,95.000,235,65535
85,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610822,0.023,256.364,236,282,41.920,43.548,27.500,235,65535
86,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610817,0.084,564.300,285,757,33.527,43.361,100.000,235,65535
87,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610816,0.024,274.435,236,315,45.971,43.287,28.750,235,65535
88,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610819,0.052,291.796,235,372,39.050,43.400,61.250,235,65535
89,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610818,0.077,361.205,236,505,35.828,43.389,91.250,235,65535
90,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610829,0.080,335.855,237,439,44.724,43.941,95.000,235,65535
91,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610828,0.084,1311.463,827,1746,40.245,43.945,100.000,235,65535
92,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610831,0.084,558.325,309,901,31.904,44.172,100.000,235,65535
93,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610830,0.074,349.371,238,474,37.947,44.085,87.500,235,65535
94,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610825,0.084,633.850,326,884,32.943,43.783,100.000,235,65535
95,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID49610824,0.070,523.364,269,790,39.978,43.722,82.500,235,65535
