 ,Label,Area,Mean,Min,Max,X,Y,%Area,MinThr,MaxThr
1,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID50733830,0.036,1111.618,929,1308,36.244,56.061,42.500,917,65535
2,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID50733831,0.084,1919.912,1037,2856,31.839,56.246,100.000,917,65535
3,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID50733828,0.054,1276.784,923,1692,34.299,55.994,63.750,917,65535
4,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID50733829,0.076,1447.611,924,1888,32.582,56.017,90.000,917,65535
5,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID50733826,0.082,1813.462,951,2727,32.166,55.860,97.500,917,65535
6,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID50733827,0.039,1240.432,924,1682,36.597,55.921,46.250,917,65535
7,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID50733824,0.079,1719.360,948,2661,33.274,55.817,93.750,917,65535
8,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID50733825,0.084,2488.850,1128,3936,35.831,55.824,100.000,917,65535
9,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID50733834,0.063,1242.267,923,1882,33.023,56.263,75.000,917,65535
10,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID50733835,0.025,1128.958,921,1380,32.809,56.781,30.000,917,65535
11,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID50733832,0.084,1686.037,934,2221,32.391,56.213,100.000,917,65535
12,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID50733833,0.014,1020.923,940,1131,35.101,56.230,16.250,917,65535
13,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID50733574,0.084,1417.775,920,1878,33.397,41.965,100.000,917,65535
14,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID50733575,0.059,1076.107,919,1277,38.523,41.983,70.000,917,65535
15,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID50733572,0.064,1171.016,945,1545,42.305,41.882,76.250,917,65535
16,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C7_Airyscan Processing-1.tif:ID50733573,0.083,1777.266,924,2848,36.188,41.902,98.750,917,65535
