 ,Label,Area,Mean,Min,Max,X,Y,%Area,MinThr,MaxThr
1313,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311562,0.084,1531.263,1022,1812,29.372,15.352,100.000,662,65535
1314,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311565,0.000,NaN,662,649,NaN,NaN,0.000,662,65535
1315,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311564,0.058,886.818,663,1083,30.667,15.355,68.750,662,65535
1316,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311567,0.027,768.308,672,922,16.343,15.616,32.500,662,65535
1317,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311566,0.084,1216.162,737,1493,29.794,15.514,100.000,662,65535
1318,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311569,0.029,787.893,662,949,18.045,15.709,35.000,662,65535
1319,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311568,0.083,1264.000,684,1786,29.176,15.642,98.750,662,65535
1320,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311571,0.070,965.879,683,1306,31.299,15.912,82.500,662,65535
1321,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311570,0.011,734.800,675,800,20.009,15.829,12.500,662,65535
1322,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311573,0.035,780.697,664,896,17.617,16.002,41.250,662,65535
1323,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311572,0.036,840.029,670,980,24.437,16.002,42.500,662,65535
1324,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311575,0.084,1185.263,688,1466,29.437,16.163,100.000,662,65535
1325,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311574,0.084,1398.537,890,1723,30.606,16.098,100.000,662,65535
1326,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311577,0.008,696.625,666,720,16.548,16.317,10.000,662,65535
1327,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311576,0.044,869.357,670,1082,28.213,16.244,52.500,662,65535
1328,MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID48311579,0.083,1198.076,715,1664,21.552,16.392,98.750,662,65535
